well,value
A1,2.9861
A2,2.9759
A3,3.0698
A4,3.0376
A5,2.8535
A6,2.7334
A7,0.0914
A8,0.0838
A9,0.0961
A10,0.0951
A11,0.0934
A12,0.0674
B1,2.7812
B2,2.7644
B3,2.9086
B4,3.1245
B5,1.8058
B6,1.8224
B7,0.0821
B8,0.0851
B9,0.0882
B10,0.0827
B11,0.0910
B12,0.0655
C1,2.1681
C2,2.1629
C3,2.8486
C4,0.0914
C5,0.3929
C6,0.3933
C7,0.0848
C8,0.0881
C9,0.0956
C10,0.0867
C11,0.0847
C12,0.0886
D1,1.2468
D2,1.2976
D3,1.9588
D4,0.0828
D5,2.3438
D6,2.3689
D7,0.1034
D8,0.0897
D9,0.0911
D10,0.0967
D11,0.0915
D12,0.0877
E1,0.5591
E2,0.5314
E3,2.0534
E4,0.0777
E5,0.0668
E6,0.0835
E7,0.0856
E8,0.0783
E9,0.0783
E10,0.0936
E11,0.0794
E12,0.0940
F1,0.2398
F2,0.2174
F3,1.9469
F4,0.0875
F5,0.0882
F6,0.0781
F7,0.0774
F8,0.0841
F9,0.0703
F10,0.0920
F11,0.0750
F12,0.0896
G1,0.1521
G2,0.1250
G3,0.2199
G4,0.0836
G5,0.0871
G6,0.0884
G7,0.0894
G8,0.0877
G9,0.0839
G10,0.0888
G11,0.0880
G12,0.0914
H1,0.0984
H2,0.1043
H3,0.2226
H4,0.0980
H5,0.0919
H6,0.0857
H7,0.0977
H8,0.0799
H9,0.0930
H10,0.0799
H11,0.0780
H12,0.0688
